"#","Reference","Qty","Value","Footprint","DNP"
"1","Brd1, Brd2","2","SSD1306","SSD1306-128x64_OLED:128x64OLED",""
"2","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89","89","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","D1, D2, D3, D4, D5, D6, D13, D14, D15, D16, D17, D24, D25, D26, D27, D34, D35, D36, D37, D38, D45, D52, D53, D54, D55, D56, D62, D63, D64, D65, D66, D69, D70, D71, D72, D73, D75, D81, D82, D83, D84, D85, D92, D93, D94, D95, D102, D103, D104, D105, D106, D113, D120, D121, D122, D123, D124, D131, D132, D133, D134, D135, D136, D137, D138, D139, D141, D147, D148, D149, D150, D151","72","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"4","D7, D8, D9, D11, D12, D18, D19, D20, D21, D22, D28, D29, D30, D31, D32, D39, D40, D41, D42, D43, D46, D47, D48, D49, D50, D57, D58, D59, D60, D67, D74, D76, D77, D78, D80, D86, D87, D88, D89, D90, D96, D97, D98, D99, D100, D107, D108, D109, D110, D111, D114, D115, D116, D117, D118, D125, D126, D127, D128, D129, D140, D142, D143, D144, D145, D152, D153, D154, D155, D156","70","WS2812B","WS2812B_5050_SMD_REVERSED :WS2812B_5050_reversed_SMD_edge",""
"5","D10, D23, D33, D44, D51, D61, D68, D79, D91, D101, D112, D119, D130, D146, D157","15","WS2812B","WS2812B_5050_SMD_REVERSED :WS2812B_5050_reversed_SMD_strip",""
"6","J1, J2","2","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"7","R1, R2, R5, R6","4","330 ohm","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"8","R3, R7","2","806k ohm","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"9","R4, R8","2","2M ohm","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"10","SW1, SW33","2","RotaryEncoder_Switch_MP","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles",""
"11","SW2, SW34","2","SW_SPDT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"12","SW3, SW8, SW9, SW10, SW11, SW13, SW14, SW15, SW16, SW18, SW19, SW20, SW21, SW23, SW24, SW25, SW26, SW28, SW29, SW30, SW31, SW32, SW35, SW36, SW37, SW38, SW40, SW41, SW42, SW43, SW45, SW46, SW47, SW48, SW49, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW60, SW61, SW62, SW64, SW66, SW68, SW69, SW70, SW72, SW73, SW74","56","SW_Push","PCM_marbastlib-xp-mx:SW_MX_HS_KS-2P02B01-01_1u",""
"13","SW4, SW71","2","SW_Push","PCM_marbastlib-xp-mx:SW_MX_HS_KS-2P02B01-01_1.5u",""
"14","SW5, SW63","2","SW_Push","PCM_marbastlib-xp-mx:SW_MX_HS_KS-2P02B01-01_1.75u",""
"15","SW6, SW67","2","SW_Push","PCM_marbastlib-xp-mx:SW_MX_HS_KS-2P02B01-01_2.25u",""
"16","SW7, SW12, SW17, SW22, SW44","5","SW_Push","PCM_marbastlib-xp-mx:SW_MX_HS_KS-2P02B01-01_1.25u",""
"17","SW27, SW65","2","SW_Push","PCM_marbastlib-xp-mx:SW_MX_HS_KS-2P02B01-01_2u",""
"18","SW39","1","SW_Push","PCM_marbastlib-xp-mx:SW_MX_HS_KS-2P02B01-01_2.75u",""
